run,parameter,mean,std,median,p2.5,p16,p84,p97.5
LCDM_control,H0,68.96805062056238,0.44975913711664167,68.969321,68.089077,68.52208,69.395737,69.843872
LCDM_control,Omega_m,0.29324943449805074,0.005743894566214541,0.29314621,0.28249166,0.28771286,0.29881126,0.30460804
LCDM_control,sigma8,0.8130786724017925,0.007037695702084995,0.81302719,0.7995335017499999,0.80614343536,0.8197364193333333,0.82772738
LCDM_control,omega_b,0.022385629856635888,0.000124334983202751,0.022386536,0.022140514,0.022258359,0.022507195,0.022624333
LCDM_control,omega_cdm,0.11707179961830873,0.0010068029648770565,0.11705539,0.1151543,0.11606855,0.11805746,0.11904895
LCDM_control,logA,3.037778459929542,0.01577862556938823,3.0376972,3.0073339,3.0220615,3.0529603,3.0700057
LCDM_control,n_s,0.969690642076701,0.003999958439536897,0.96970344,0.9618686,0.96568683,0.97359361,0.97729267
LCDM_control,tau_reio,0.055542960997072885,0.007582819505054878,0.055500291,0.041372916,0.048053466,0.062884669,0.071689666
GEO_28B,H0,67.73201306529845,0.46123142794128724,67.732081,66.882621,67.26227,68.195568,68.667918
GEO_28B,Omega_m,0.3093455444537672,0.006270267458173849,0.30929018,0.29670051,0.30317613,0.31572373,0.32138787
GEO_28B,sigma8,0.8191746682294703,0.006944605540016627,0.81940792,0.8051590679999999,0.81217409,0.8260955508,0.83193566
GEO_28B,omega_b,0.02216485146390399,0.00012883217446814203,0.022165576,0.021909646,0.022033779,0.022295629,0.022411999
GEO_28B,omega_cdm,0.11971905346017489,0.0010485220850542883,0.11972866,0.117575114,0.11868917,0.12076248,0.12174595
GEO_28B,logA,3.0340019719241575,0.015282035455348588,3.0344254,3.0031841,3.0189085,3.0489881,3.0625632
GEO_28B,n_s,0.9629725688689302,0.0038313043891095534,0.96300655,0.95552065,0.95912741,0.9667976,0.97046509
GEO_28B,tau_reio,0.05103113396469182,0.0074808892305378355,0.051145441,0.035981401,0.043759166,0.058330028,0.065354643
GEO_28B,H0_GEO,73.3997957609703,0.4998270548491337,73.39986938041541,72.47932697091987,72.89074481899108,73.90214075252223,74.41401677626112
GEO_29,H0,67.72127818523325,0.48838210665477905,67.71738,66.785804,67.23389,68.216503,68.701312
GEO_29,Omega_m,0.3094650467801828,0.006612587360037921,0.30939763,0.29663213,0.30269498,0.31606411,0.32260108
GEO_29,sigma8,0.818566795504742,0.007325461164310741,0.81861797,0.80358998,0.81125876,0.82584307,0.832549172
GEO_29,omega_b,0.02215451968223124,0.00013791260194634514,0.022150883,0.0218954916,0.022019476200000002,0.022293868,0.022432231
GEO_29,omega_cdm,0.11973548388239305,0.001097029555181292,0.11973776,0.11761483,0.11862924,0.12082741,0.1219005
GEO_29,logA,3.0323761447017343,0.01632296557408342,3.0325956,2.99913196,3.0165252,3.0485192,3.06403526
GEO_29,n_s,0.9628083168888651,0.004209960955531072,0.96286564,0.95436113,0.95879163,0.96695212,0.970714404
GEO_29,tau_reio,0.050322861630337445,0.0077821577506422684,0.050416277,0.03471647346666667,0.04276550490666667,0.057870758,0.065611863
GEO_29,H0_GEO,73.3881625912379,0.5292496894668407,73.38393820771513,72.37440837032639,72.85998999406527,73.92482758338278,74.4502051703264
