fc,eta,chi_total,delta_chi2,H0,Omega_m,logA,sigma8,S8
0.45,0.2025,1839.578081591177,25.25845469850788,67.02656526346249,0.3187715787195613,3.060121709701276,0.6712288533423139,0.6919102845858295
0.475,0.225625,1835.1511926807336,20.831565788065063,67.03798249178209,0.3183491591290416,3.0589823382888266,0.6794952213916984,0.6999671086253869
0.5,0.25,1831.258803472077,16.93917657940824,67.04729412350397,0.317989464273403,3.0576811612369545,0.6875472894250518,0.7078615331878875
0.5250000000000001,0.2756250000000001,1827.8610413405167,13.541414447847956,67.05604348511497,0.317634762105635,3.0562446311838936,0.6953068242660276,0.7154509709777217
0.55,0.30250000000000005,1824.92147665312,10.601849760451389,67.06497602435093,0.3172420817770428,3.0550403813362186,0.7028337340189477,0.7227487786019279
0.5750000000000002,0.3306250000000002,1822.407125025491,8.087498132822247,67.07188107533727,0.316910163678464,3.053723812103313,0.7101870695890788,0.7299283257996604
0.6000000000000001,0.3600000000000001,1820.286874822063,5.9672479293942615,67.08220985815555,0.3165647189320232,3.052391148597392,0.7173271405839342,0.7368649364788409
0.6250000000000002,0.3906250000000003,1818.532223471644,4.212596578975308,67.08997284181469,0.3161878012170518,3.051060559438829,0.7241585180406477,0.743439396152588
0.6500000000000001,0.42250000000000015,1817.1160146683176,2.796387775648782,67.09752320753762,0.3158749297377676,3.0498478875694994,0.7309535433099201,0.7500439762371739
0.6750000000000003,0.45562500000000034,1816.0143228311,1.6946959384310958,67.10567850912325,0.3155627519192789,3.048674546428728,0.7375736477324485,0.7564628972116698
0.7000000000000002,0.49000000000000027,1815.2042229192891,0.8845960266205566,67.11263795096924,0.3152453406340076,3.0473740834337124,0.7439313193373345,0.7625995657114119
0.7250000000000003,0.5256250000000005,1814.664928554028,0.3453016613593718,67.11943020656591,0.3149819999299672,3.046001550188489,0.7501844194858459,0.7686883176360306
0.7500000000000002,0.5625000000000003,1814.3765573812173,0.0569304885486872,67.12691307218017,0.3146585280516465,3.044900986990616,0.7562504211267593,0.7745059446757475
0.7740884146731773,0.599212873731233,1814.3196268926688,0.0,67.13288592085297,0.3143925561492433,3.04380561517937,0.7619946718652867,0.7800589689029651
0.7745966692414834,0.6000000000000001,1814.320632821222,0.0010059285532406,67.13366192684943,0.3143868091617835,3.0436476549681246,0.7620714059396559,0.7801303917257908
0.7750000000000004,0.6006250000000005,1814.321428150196,0.0018012575269494,67.13367715661536,0.3143777327465472,3.043732044440607,0.7621944454743808,0.7802450837912668
0.8000000000000003,0.6400000000000005,1814.4826588014205,0.1630319087516909,67.14014648445514,0.3140760354955548,3.042438339388519,0.767881028785005,0.785689068733135
0.8250000000000004,0.6806250000000007,1814.8444434974624,0.5248166047938412,67.14702645035476,0.3138016100235602,3.0414563104646444,0.7735859427766775,0.7911804106590444
0.8500000000000003,0.7225000000000005,1815.392262199436,1.072635306767097,67.15309011859583,0.313553375730902,3.0400732874713854,0.7790236239244436,0.7964265710571317
0.8750000000000004,0.7656250000000008,1816.112597265144,1.792970372475338,67.15796178258863,0.3133020037341487,3.039009917421513,0.7844137804505911,0.8016156244651862
0.9000000000000004,0.8100000000000006,1816.9926957759085,2.6730688832394662,67.16406246035888,0.3130638660487548,3.037821873252057,0.7896513333996653,0.8066612921910437
0.9250000000000004,0.8556250000000007,1818.0217398366128,3.70211294394403,67.17034431268156,0.3128009183712034,3.036620165105808,0.7947007210261249,0.8114784470690057
0.9500000000000004,0.9025000000000007,1819.1877282068049,4.868101314135856,67.17507288230125,0.3125490051882685,3.0355976672567784,0.7996853270124292,0.8162394115741
0.9750000000000004,0.9506250000000008,1820.4807214908235,6.161094598154705,67.17915446260534,0.3123663492237244,3.0345104898214883,0.8046403525819847,0.8210569887652093
1.0000000000000004,1.0000000000000009,1821.8908722475344,7.571245354865596,67.18517856119958,0.3121351412776883,3.033325387466196,0.8093580234155738,0.8255652076844786
