test,fc_best,eta_best,delta_chi2_GEO,fc68_low,fc68_high,fc95_low,fc95_high,H0_best,S8_best
01_growth_S8,0.7500000000000002,0.5625000000000003,0.1791232215080018,0.6706132124840704,0.8183369941181245,0.6069335857917634,0.8983995102934775,66.93519449071007,0.7818767889973911
02_BAO_SN_full,0.7745966692414834,0.6000000000000001,0.0,0.6964180615368138,0.8466376669851927,0.6315666457924765,0.9279697542205154,67.13447748056454,0.7800869548072243
04_weak_lensing_prior_KiDS_like,0.7745966692414834,0.6000000000000001,0.0,0.6964180615368138,0.8466376669851927,0.6315666457924765,0.9279697542205154,67.13447748056454,0.7800869548072243
04_weak_lensing_prior_DES_HSC_like,0.7500000000000002,0.5625000000000003,0.2676472000152898,0.6727982566894508,0.8064101033114612,0.6159872559439896,0.876961221384845,67.138587948265,0.7727042230616388
04_weak_lensing_prior_DES_Y3_like,0.7745966692414834,0.6000000000000001,0.0,0.6965816273573134,0.8461683704556368,0.6320489043486368,0.9271723906404306,67.13218816736567,0.780079087775683
